% 1. Title: gcc output parameters
%
% 2. Sources: gem5 runs
@RELATION trainingSet

@ATTRIBUTE issueWidth	{1, 2, 4, 8}
@ATTRIBUTE l2Size	{64, 256, 1024}
@ATTRIBUTE l1Size	{16, 32, 64}
@ATTRIBUTE l1Assoc	{2, 4}
@ATTRIBUTE reorderBuffer	{0, 64, 128, 200}
@ATTRIBUTE intAlus	{1, 3, 6}
@ATTRIBUTE intMuls	{1, 2}
@ATTRIBUTE fp	{0, 1, 2}
@ATTRIBUTE executionModel	{0, 1}
@ATTRIBUTE performance	NUMERIC
@ATTRIBUTE intAccessR	NUMERIC
@ATTRIBUTE FPAccessR	NUMERIC
@ATTRIBUTE BranchAccessR	NUMERIC
@ATTRIBUTE DataAccessR	NUMERIC
@ATTRIBUTE DataFPKB	NUMERIC
@ATTRIBUTE InstFPKB	NUMERIC
@ATTRIBUTE OperandAvg	NUMERIC
@ATTRIBUTE RegPC	NUMERIC
@ATTRIBUTE DataReuseAvg	NUMERIC
@ATTRIBUTE 32InstReuse	NUMERIC
@ATTRIBUTE LargeReuse   NUMERIC

@DATA
1,1024,32,2,0,1,1,1,1,0.0977,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
1,256,32,2,0,1,1,1,0,0.0977,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
2,64,32,2,0,3,1,1,1,0.1923,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
2,1024,32,2,0,3,1,1,1,0.1929,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
2,256,16,2,0,3,1,1,1,0.1923,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
2,256,64,4,0,3,1,1,1,0.1924,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
2,256,32,2,0,3,1,1,0,0.192,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
2,256,32,2,0,1,1,1,1,0.1924,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
2,256,32,2,0,3,1,1,1,0.1928,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
8,256,32,2,128,6,1,2,0,1.4672,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
8,256,32,2,128,6,1,0,0,1.4670,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.00
8,256,32,2,128,6,1,1,0,1.4642,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
8,256,64,4,128,6,1,1,0,1.4786,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
8,256,16,2,128,6,1,1,0,1.4525,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
8,1024,32,2,128,6,1,1,0,1.4687,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
8,64,32,2,128,6,1,1,0,1.4405,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
8,256,32,2,200,6,1,1,0,1.4694,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
8,256,32,2,64,6,1,1,0,1.3998,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,16,2,128,3,1,1,0,0.9979,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,64,4,128,3,1,1,0,1.0078,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,32,2,128,3,1,1,0,1,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,32,2,128,3,1,2,0,1.0029,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,32,2,128,3,1,0,0,0.9999,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,32,2,128,6,1,1,0,1.0071,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,32,2,128,3,2,1,0,1,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,1024,32,2,128,3,1,1,0,1.0038,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,64,32,2,128,3,1,1,0,0.9907,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,32,2,200,3,1,1,0,1.0030,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,32,2,64,3,1,1,0,0.9985,0.6616,0.0,0.2465,0.5632,1.9728,0.045,1.5913,2.7591,0.0157,0.9916,0.0
4,256,32,2,128,3,1,1,0,1,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,128,3,1,2,0,1,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,128,3,1,0,0,1,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,128,6,1,1,0,1.0001,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,128,3,2,1,0,1,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,1024,32,2,128,3,1,1,0,1,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,64,32,2,128,3,1,1,0,0.9932,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,16,2,128,3,1,1,0,1,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,64,4,128,3,1,1,0,1,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,200,3,1,1,0,1,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,64,3,1,1,0,0.9777,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
1,256,32,2,0,1,1,1,1,0.2863,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
1,256,32,2,0,1,1,0,1,0.2863,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
1,1024,32,2,0,1,1,1,1,0.2863,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
1,64,32,2,0,1,1,1,1,0.2863,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
1,256,16,2,0,1,1,1,1,0.2863,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
1,256,64,4,0,1,1,1,1,0.2863,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
2,256,32,2,0,3,1,1,1,0.4603,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
2,256,32,2,0,1,1,1,1,0.4582,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
2,256,32,2,0,3,1,0,1,0.4603,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
2,1024,32,2,0,3,1,1,1,0.4603,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
2,64,32,2,0,3,1,1,1,0.4603,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
2,256,16,2,0,3,1,1,1,0.4603,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
2,256,64,4,0,3,1,1,1,0.4603,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
2,256,32,2,128,3,2,1,0,0.4603,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
8,256,32,2,128,6,1,1,0,1.9305,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
8,256,32,2,128,6,1,2,0,1.9305,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
8,256,32,2,128,6,1,0,0,1.9305,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
8,256,64,4,128,6,1,1,0,1.9305,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
8,256,16,2,128,6,1,1,0,1.9305,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
8,1024,32,2,128,6,1,1,0,1.9304,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
8,256,32,2,128,6,1,1,0,1.9305,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
8,64,32,2,128,6,1,1,0,1.9209,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
8,256,32,2,200,6,1,1,0,1.9905,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,0,3,1,1,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
